frame,timestamp_sec,occupancy,max_occupancy_so_far
317,10.55,1,1
318,10.583,1,1
319,10.616,1,1
320,10.65,1,1
321,10.683,1,1
322,10.716,1,1
323,10.749,1,1
324,10.783,1,1
325,10.816,1,1
326,10.849,1,1
327,10.883,1,1
328,10.916,1,1
329,10.949,1,1
330,10.982,1,1
331,11.016,1,1
332,11.049,1,1
333,11.082,1,1
334,11.116,1,1
335,11.149,1,1
336,11.182,1,1
337,11.215,1,1
338,11.249,1,1
339,11.282,1,1
340,11.315,1,1
341,11.349,1,1
342,11.382,1,1
343,11.415,1,1
344,11.448,1,1
345,11.482,1,1
346,11.515,1,1
347,11.548,1,1
348,11.581,1,1
349,11.615,1,1
350,11.648,1,1
351,11.681,1,1
352,11.715,1,1
353,11.748,1,1
354,11.781,1,1
355,11.814,1,1
356,11.848,1,1
357,11.881,1,1
358,11.914,1,1
359,11.948,1,1
360,11.981,1,1
361,12.014,1,1
362,12.047,1,1
363,12.081,1,1
364,12.114,1,1
365,12.147,1,1
366,12.181,1,1
367,12.214,1,1
368,12.247,1,1
369,12.28,1,1
370,12.314,1,1
371,12.347,1,1
372,12.38,1,1
373,12.413,1,1
374,12.447,1,1
375,12.48,1,1
376,12.513,1,1
377,12.547,1,1
378,12.58,1,1
379,12.613,1,1
380,12.646,1,1
381,12.68,1,1
382,12.713,1,1
383,12.746,1,1
384,12.78,1,1
385,12.813,1,1
386,12.846,1,1
387,12.879,1,1
388,12.913,1,1
389,12.946,1,1
390,12.979,1,1
391,13.013,1,1
392,13.046,1,1
393,13.079,1,1
394,13.112,1,1
395,13.146,1,1
396,13.179,1,1
397,13.212,1,1
398,13.245,1,1
399,13.279,1,1
400,13.312,1,1
401,13.345,1,1
402,13.379,1,1
403,13.412,1,1
404,13.445,1,1
405,13.478,1,1
406,13.512,1,1
407,13.545,1,1
408,13.578,1,1
409,13.612,1,1
410,13.645,1,1
411,13.678,1,1
412,13.711,1,1
413,13.745,1,1
414,13.778,1,1
415,13.811,1,1
416,13.845,1,1
417,13.878,1,1
418,13.911,1,1
419,13.944,1,1
420,13.978,1,1
421,14.011,1,1
422,14.044,1,1
423,14.077,1,1
424,14.111,1,1
425,14.144,1,1
426,14.177,1,1
427,14.211,1,1
428,14.244,1,1
429,14.277,1,1
430,14.31,1,1
431,14.344,1,1
432,14.377,1,1
433,14.41,1,1
434,14.444,1,1
435,14.477,1,1
436,14.51,1,1
437,14.543,1,1
438,14.577,1,1
439,14.61,1,1
440,14.643,1,1
441,14.677,1,1
442,14.71,1,1
443,14.743,1,1
444,14.776,1,1
445,14.81,1,1
446,14.843,1,1
447,14.876,1,1
448,14.909,1,1
449,14.943,1,1
450,14.976,1,1
451,15.009,1,1
452,15.043,1,1
453,15.076,1,1
454,15.109,1,1
455,15.142,1,1
456,15.176,1,1
457,15.209,1,1
458,15.242,1,1
459,15.276,1,1
460,15.309,1,1
461,15.342,1,1
462,15.375,1,1
463,15.409,1,1
464,15.442,1,1
465,15.475,1,1
466,15.509,1,1
467,15.542,1,1
468,15.575,1,1
469,15.608,1,1
470,15.642,1,1
471,15.675,1,1
472,15.708,1,1
473,15.741,1,1
474,15.775,1,1
475,15.808,1,1
476,15.841,1,1
477,15.875,1,1
478,15.908,1,1
479,15.941,1,1
480,15.974,1,1
481,16.008,1,1
482,16.041,1,1
483,16.074,1,1
484,16.108,1,1
485,16.141,1,1
486,16.174,1,1
487,16.207,1,1
488,16.241,1,1
489,16.274,1,1
490,16.307,1,1
491,16.341,1,1
492,16.374,1,1
493,16.407,1,1
494,16.44,1,1
495,16.474,1,1
496,16.507,1,1
